Chimp128,/ZT17.csv.gz,13.13,22258.87,18154.94
Chimp128,/ZT21.csv.gz,10.02,18442.54,16091.73
Chimp128,/ZT22.csv.gz,9.93,16975.91,15149.96
Chimp128,/ZT763.csv.gz,16.72,28112.56,20743.59
Chimp128,/ZT764.csv.gz,16.72,28151.22,20892.85
Chimp128,/ZT765.csv.gz,16.72,29139.51,21645.77
Chimp128,/ZT766.csv.gz,16.72,28472.74,21160.48
Chimp128,/ZT1103.csv.gz,11.91,19500.20,15949.21
Chimp128,/ZT11440.csv.gz,9.43,15907.30,13744.46
Chimp128,/ZT11480.csv.gz,10.02,17983.15,15256.13
Chimp128,/ZT11529.csv.gz,10.17,18077.41,15478.22
Chimp128,/ZT11531.csv.gz,10.14,17765.44,14940.64
Chimp128,/ZT11581.csv.gz,10.63,18858.67,16076.58
Chimp128,/ZT11621.csv.gz,10.50,18683.74,16351.08
Chimp128,/ZT11627.csv.gz,10.23,18099.63,15370.93
Chimp128,/ZT11629.csv.gz,10.25,18011.30,14975.58
Chimp128,/ZT11676.csv.gz,10.28,18194.33,15309.62
Chimp128,/ZT11725.csv.gz,10.25,18151.73,15231.14
Chimp128,/ZT11727.csv.gz,10.15,17813.98,15011.06
Chimp128,/ZT11728.csv.gz,10.37,18198.75,15283.83
Chimp128,/ZT11729.csv.gz,10.35,18204.33,15426.70
Chimp128,/ZT11730.csv.gz,9.60,16430.02,14182.84
Chimp128,/ZT11731.csv.gz,9.56,16475.19,14617.22
Chimp128,/ZT11732.csv.gz,10.01,17364.74,14692.76
